#{"t_start": 1668550789.767045, "env_id": "nnMeta-v40"}
r,l,t
2299.0,1,2.637643
4429.0,2,2.640222
5252.0,3,2.641248
7460.0,4,2.642325
9649.0,5,2.64327
10595.0,6,2.644277
10785.0,7,2.645215
12687.0,8,2.646116
14366.0,9,2.647037
16153.0,10,2.648006
17459.0,11,2.648929
18022.0,12,2.649829
18535.0,13,2.650908
19511.0,14,2.651841
20126.0,15,2.653134
21759.0,16,2.65414
23762.0,17,2.655146
25525.0,18,2.656146
27286.0,19,2.657281
27816.0,20,2.658304
28428.0,21,2.659212
29835.0,22,2.660129
30678.0,23,2.661024
31595.0,24,2.66192
33755.0,25,2.6628
34113.0,26,2.663709
34832.0,27,2.664639
36256.0,28,2.665602
38325.0,29,2.666556
40342.0,30,2.6675
40594.0,31,2.668436
41731.0,32,2.66934
42444.0,33,2.670433
42959.0,34,2.67142
43619.0,35,2.672391
43673.0,36,2.673297
44044.0,37,2.67419
44223.0,38,2.675128
45966.0,39,2.67604
47347.0,40,2.676918
49051.0,41,2.677821
50619.0,42,2.678783
52011.0,43,2.679684
53730.0,44,2.680589
55543.0,45,2.681722
56208.0,46,2.682908
56981.0,47,2.683993
57295.0,48,2.68503
892.0,1,2.686208
2640.0,2,2.687637
3972.0,3,2.688764
6081.0,4,2.689792
6781.0,5,2.69089
7251.0,6,2.692051
8195.0,7,2.693098
8385.0,8,2.69419
8401.0,9,2.695318
9488.0,10,2.696444
11499.0,11,2.697625
12660.0,12,2.698814
13382.0,13,2.700075
14755.0,14,2.701065
16745.0,15,2.70213
17874.0,16,2.703423
19012.0,17,2.704885
19624.0,18,2.706254
20886.0,19,2.707368
23032.0,20,2.708483
23729.0,21,2.709594
25558.0,22,2.71065
27651.0,23,2.711576
29391.0,24,2.712546
30619.0,25,2.713487
31287.0,26,2.71449
32860.0,27,2.715547
34414.0,28,2.716615
36115.0,29,2.71771
36465.0,30,2.718876
37657.0,31,2.720256
39046.0,32,2.721507
40028.0,33,2.722719
41471.0,34,2.723928
42122.0,35,2.72512
44000.0,36,2.726204
44996.0,37,2.727362
45148.0,38,2.728501
46745.0,39,2.729664
47823.0,40,2.73105
50148.0,41,2.732306
52348.0,42,2.73354
52473.0,43,2.734399
54678.0,44,2.735239
55481.0,45,2.736039
56498.0,46,2.737237
57071.0,47,2.73824
58727.0,48,2.7391
1991.0,1,2.739948
4317.0,2,2.740797
4637.0,3,2.741631
6050.0,4,2.742578
6053.0,5,2.743479
6535.0,6,2.744354
7257.0,7,4.123182
7940.0,8,4.129933
10057.0,9,4.136205
10757.0,10,4.142807
12521.0,11,4.149492
14159.0,12,4.15848
14859.0,13,4.166712
11.0,1,4.174751
2130.0,2,4.182566
4451.0,3,4.192137
5196.0,4,4.200203
6266.0,5,4.208441
7417.0,6,4.2162
7591.0,7,4.224756
9030.0,8,4.232714
9317.0,9,4.24039
10861.0,10,4.246868
11786.0,11,4.253588
14105.0,12,4.260427
14745.0,13,4.267521
16495.0,14,4.275136
17332.0,15,4.283041
19173.0,16,4.291601
20607.0,17,4.299403
21721.0,18,4.307215
22021.0,19,4.31467
23073.0,20,4.322188
25388.0,21,4.330385
27045.0,22,4.338345
28948.0,23,4.347621
29441.0,24,4.354162
30366.0,25,4.360994
1986.0,1,4.367861
3646.0,2,4.374754
5629.0,3,4.381083
5798.0,4,4.38768
6504.0,5,4.395925
7637.0,6,4.406092
9392.0,7,4.417706
10176.0,8,4.428689
11200.0,9,4.43964
12789.0,10,4.448387
14575.0,11,4.460235
16032.0,12,4.4722
16826.0,13,4.481803
19084.0,14,4.499591
19179.0,15,4.513482
19762.0,16,4.526229
19812.0,17,4.539403
21539.0,18,4.551027
23342.0,19,4.561148
25438.0,20,4.568354
26493.0,21,4.575992
27057.0,22,4.582947
28392.0,23,4.590664
29385.0,24,4.597083
31072.0,25,4.604179
31409.0,26,4.610972
33514.0,27,4.617432
33750.0,28,4.624914
34475.0,29,4.63133
36134.0,30,4.638365
36368.0,31,4.645517
36702.0,32,4.651961
39024.0,33,4.659279
40783.0,34,4.666202
42485.0,35,4.673583
42980.0,36,4.68017
44241.0,37,4.687066
45915.0,38,4.694265
47100.0,39,4.701814
47532.0,40,4.708896
47662.0,41,4.715327
49991.0,42,4.722118
52100.0,43,4.729052
52882.0,44,4.73556
53719.0,45,4.742391
55609.0,46,4.749094
56870.0,47,4.756429
1221.0,1,4.763487
2021.0,2,4.770794
2241.0,3,4.77737
4336.0,4,4.784015
5637.0,5,4.790832
7882.0,6,4.7974
8531.0,7,4.804213
9521.0,8,4.810863
11591.0,9,4.818357
12513.0,10,4.826281
14118.0,11,4.833428
16281.0,12,4.840988
18044.0,13,4.850608
19132.0,14,4.860581
21435.0,15,4.871264
23342.0,16,4.880571
24293.0,17,4.890585
25188.0,18,4.900446
26956.0,19,4.909998
27744.0,20,4.920605
29603.0,21,4.930195
31253.0,22,4.94
31999.0,23,4.948993
32269.0,24,4.957666
32651.0,25,4.965991
32993.0,26,4.974358
33965.0,27,4.98267
35259.0,28,4.991305
35760.0,29,4.999608
37073.0,30,5.008123
38083.0,31,5.016744
38703.0,32,5.025541
40707.0,33,5.034171
41160.0,34,5.042857
42719.0,35,5.051223
43063.0,36,5.060139
44910.0,37,5.068333
45292.0,38,5.07702
998.0,1,5.085751
1852.0,2,5.094555
3726.0,3,5.103181
4203.0,4,5.111894
4689.0,5,5.120755
5578.0,6,5.128891
7847.0,7,5.137702
9045.0,8,5.145891
10268.0,9,5.154802
12230.0,10,5.163249
13570.0,11,5.172202
15897.0,12,5.180972
